reviewer,topic,status,evidence,response_en,manuscript_change
R1,Fig. 2 styling,addressed,figures/fig2_combined_local_time.png,"We thank the referee for these suggestions. Fig. 2 now uses local time, a black dash-dotted CTW marker, thicker curves, separate left/right y-axes for modularity and nestedness (without internal legends), and rescaled nestedness.",Update Fig. 2 caption; replace UTC labels with local time.
R1,Local time vs UTC,addressed,figures/fig2_*_local_time.png,All temporal axes and CTW annotations are now reported in local time (Buenos Aires for Argentine events; Paris for Charlie Hebdo).,Replace 'All times are given in UTC' in Fig. 2/SI captions.
R1,Moving average purpose,addressed,results/smoothing_*.csv,"The moving average is used to smooth sampling fluctuations in the epsilon^2_cco series, not to remove outliers. We compared rolling mean, rolling median, and Savitzky-Golay filters; conclusions are robust.",Clarify smoothing purpose in Methods and SI.
R1,Fixed groups / modularity,addressed,results/community_fixed_*.csv,"We added analyses with the Louvain partition fixed at the CTW and evaluated modularity Q(G_t, C_CTW), AMI, and pairwise co-membership over time. This separates group reassignment from edge rewiring.",Add paragraph + figure in SI.
R1/R2,Navigability / diffusion claims,addressed,results/navigability_summary.csv; figures/navigability_ctw_vs_nonctw.png,We computed hyperbolic greedy-routing success and stretch on D-Mercator embeddings for CTW and matched non-CTW windows. Claims about efficient dissemination were softened unless CTW navigability exceeds non-CTW controls.,Replace TO BE DONE placeholders; moderate Discussion claims.
R2,epsilon notation,addressed,results/epsilon_ctw_summary.csv,"We unified notation to epsilon^2_cco, epsilon^2_ccdf (degree CCDF), and epsilon^2_knn throughout text, figures, and SI.",Remove mixed epsilon_c / epsilon_cco notation; drop 'test' wording.
R2,Clustering epsilon in Fig. 3 / SI.3,addressed,results/epsilon_ctw_summary.csv; figures/epsilon_collapse_*.png,"We now report epsilon^2_cco explicitly for the clustering spectra at CTW, alongside epsilon^2_ccdf and epsilon^2_knn.",Annotate Fig. 3/SI.3 panels with epsilon^2_cco values.
R2,Non-CTW hyperbolic embedding,addressed,results/nonctw_selection.csv; results/embedding_inventory.csv,"We added non-CTW D-Mercator embeddings selected by matched activity and maximum epsilon^2_cco outside ±12 h, with validation plots in SI.",Fix SI Sec. III window descriptions; add non-CTW figure.
R2,Null models,addressed,results/null_model_*.csv,"We compared CTW metrics with degree-preserving configuration-model nulls. Observed epsilon^2 and clustering exceed null ensembles, supporting non-trivial structure.",Add null-model paragraph in Discussion/SI.
R2,Savitzky-Golay filter,addressed,results/smoothing_correlations_*.csv,"Savitzky-Golay smoothing (window 5, order 2) yields curves very similar to the existing 3-point rolling mean, so we retain the latter for consistency.",Brief note in SI sensitivity section.
R1,Window-width criterion,addressed,results/window_entropy_diagnostic.csv; tabla_criticas.csv,"CTW width was chosen using activity thresholds (>=700 unique hashtags) and complemented by normalized community-size entropy as a diagnostic, not a sole selector.",Consolidate duplicated CTW-selection text in Sec. III.A.
